ADA	Adams
ASO	Asotin
BEN	Benton
CHE	Chelan
CLAL	Clallam
CLAR	Clark
COL	Columbia
COW	Cowlitz
DOU	Douglas
FER	Ferry
FRA	Franklin
GAR	Garfield
GRAN	Grant
GRAY	Grays Harbor
ISL	Island
JEFF	Jefferson
KING	King
KITS	Kitsap
KITT	Kittitas
KLI	Klickitat
LEW	Lewis
LIN	Lincoln
MAS	Mason
OKA	Okanogan
PAC	Pacific
PEND	Pend Oreille
PIE	Pierce
SAN	San Juan
SKAG	Skagit
SKAM	Skamania
SNO	Snohomish
SPO	Spokane
STE	Stevens
THU	Thurston
WAH	Wahkiakum
WAL	Walla Walla
WHA	Whatcom
WHI	Whitman
YAK	Yakima
